id,bytes
2440,1049926
2441,446057
2442,541889
2443,1530125
2444,211232
2445,240551
2446,204009
2447,585287
2448,568988
2449,764854
245,843290
2450,186006
2451,612122
2452,651218
2453,683996
2454,535175
2455,908412
2456,836493
2457,238481
2458,226097
2459,482970
246,70606
2460,106309
2461,119919
2462,458675
2463,510654
2464,974532
2465,132025
2466,591277
2467,147028
2468,548022
2469,567900
247,1552718
2470,440216
2471,446627
2472,706408
2473,688060
2474,302797
2475,284635
2476,286000
2477,275695
2478,283428
2479,343859
248,1568075
2480,676955
2481,1829444
2482,85777
2483,378611
2484,846713
2485,345103
2486,144611
2487,165321
2488,878705
2489,1240760
249,32357
2490,55059
2491,160627
2492,333406
2493,97029
2494,130064
2495,315430
2496,318237
2497,1173925
2498,197780
2499,237265
25,2140714
250,120044
2500,242409
2501,956972
2502,62102
2503,199347
2504,75816
2505,1359787
2506,67914
2507,382855
2508,367414
2509,380941
251,64664
2510,51069
2511,1067292
2512,469700
2513,111836
2514,1060708
2515,529348
2516,1114650
2517,816947
2518,288251
2519,794590
252,218991
2520,597154
2521,89790
2522,398322
2523,476452
2524,448912
2525,150775
2526,199782
2527,239822
2528,562388
2529,549144
253,71291
2530,676046
2531,57234
2532,47456
2533,845438
2534,125057
2535,385313
2536,83193
2537,280311
2538,53022
2539,649714
254,55952
2540,472872
2541,722912
2542,144167
2543,120854
2544,377495
2545,311830
2546,396471
2547,120225
2548,146390
2549,102626
255,22323
2550,405086
2551,326414
2552,642583
2553,653642
2554,1159923
2555,393355
2556,332382
2557,114460
2558,314940
2559,733638
256,19882
2560,393493
2561,1227494
2562,115744
2563,953168
2564,346635
2565,269887
2566,73597
2567,71275
2568,439283
2569,638121
257,521273
2570,219093
2571,112935
2572,32617
2573,630235
2574,280873
2575,284635
2576,520288
2577,1151801
2578,975163
2579,1087124
258,406446
2580,1437579
2581,969666
2582,690894
2583,1019982
2584,582861
2585,124520
2586,100396
2587,135570
2588,247787
2589,33745
259,132712
2590,1030706
2591,531199
2592,53393
2593,344918
2594,750201
2595,255763
2596,577529
2597,253219
2598,136866
2599,120371
26,461083
260,715552
2600,3359405
2601,1376008
2602,590703
2603,217188
2604,539525
2605,240878
2606,177362
2607,322225
2608,707794
2609,1114470
261,114454
2610,1230280
2611,136887
2612,1512423
2613,1647457
2614,583056
2615,381612
2616,1073559
2617,1045551
2618,176820
2619,663240
262,176688
2620,960102
2621,609282
2622,415473
2627,53962
2628,51556
2629,141306
263,59953
2630,55740
2631,75858
2632,76416
2633,90262
2634,151270
2635,319644
2636,626790
2637,394630
2638,1381005
2639,562682
264,61283
2640,529026
2641,396185
2642,350097
2643,231860
2644,267510
2645,121841
2646,49517
2647,907693
2648,113922
2649,556095
265,125253
2650,1084279
2651,647066
2652,583686
2653,461788
2654,525133
2655,274935
2656,229631
2657,712037
2658,621087
2659,498680
266,1158710
2660,301515
2661,242891
2662,363305
2663,177122
2664,932382
2665,571646
2666,628526
2667,365209
2668,326673
2669,328803
267,177947
2670,88031
2671,687966
2672,505018
2673,765270
2674,391362
2675,932793
2676,390380
2677,444421
2678,64822
2679,91662
268,1170408
2680,398825
2681,1135993
2682,148463
2683,552523
2684,558048
2685,93380
2686,390690
2687,506089
2688,352835
2689,538410
269,392547
2690,529189
2691,313662
2692,343599
2693,377765
2694,85912
2695,168166
2696,828436
2697,726969
2698,523049
2699,317336
27,831027
270,239527
2700,800699
2701,1234613
2702,506676
2703,214633
2704,395886
2705,356035
2706,229475
2707,896008
2708,306645
2709,733144
271,307560
2710,1013030
2711,191586
2712,64596
2713,209641
2714,668399
2715,415476
2716,145570
2717,90993
2718,116179
2719,61525
272,57011
2720,135696
2721,616185
2722,487111
2723,358997
2724,366402
2725,244244
2726,425187
2727,297685
2728,57375
2729,85091
273,97700
2730,53844
2731,481584
2732,262472
2733,310343
2734,140153
2735,1335280
2736,598479
2737,355709
2739,1159839
274,49736
2740,1292589
2741,496954
2742,93157
2743,550521
2744,443299
2745,150230
2746,237769
2747,112170
2748,273351
2749,164837
275,104897
2750,247640
2751,126991
2752,119912
2753,279062
2754,124295
2755,106000
2756,178346
2757,142978
2758,142882
2759,1046042
276,22147
2760,3598123
2761,450912
2762,736198
2763,484240
2764,142042
2765,170348
2766,486795
2767,402785
2768,711635
2769,581087
277,48098
2770,413700
2771,433539
2772,471308
2773,574346
2774,527587
2775,411780
2776,322337
2777,392918
2778,509908
2779,573138
278,48044
2780,601329
2781,186086
2782,200795
2783,429599
2784,335229
2785,516937
2786,533422
2787,588849
2788,579837
2789,279173
279,21073
2790,67406
2791,280787
2792,393289
2793,113363
2794,89609
2795,448457
2796,351581
2797,128897
2798,58135
2799,492531
28,101767
280,410101
2800,1113962
281,31645
282,526398
283,576568
284,777757
285,555315
286,855734
287,487313
288,348984
289,338658
29,334686
290,446299
291,232088
292,517800
293,366292
294,487447
295,267750
296,181509
297,435407
298,713692
299,348603
3,7747
30,4624970
300,30007
301,63612
302,172386
303,20903
304,159436
305,692450
306,284275
307,210518
308,393837
309,160620
31,244784
310,234652
311,197232
312,110350
313,98905
314,357330
315,160899
316,436829
317,87594
318,383252
319,405268
32,302654
320,130975
321,277488
322,601608
323,348891
324,136835
325,377618
326,501840
327,162373
328,189138
329,280138
33,513556
330,378023
331,721886
332,320016
333,82240
334,91230
335,223866
336,245776
337,327819
338,122118
339,296905
34,184319
340,120543
341,262469
342,188738
343,96616
344,468299
345,870683
346,502353
347,407241
348,548241
349,832954
35,181575
350,598015
351,1487278
352,275561
353,187892
354,510794
355,116527
356,237596
357,186425
358,143577
359,536174
36,340601
360,949951
361,471381
362,437897
363,260344
364,553364
365,219527
366,257520
367,254751
368,264649
369,388238
37,344730
370,711367
371,260169
372,384109
373,502322
374,188939
375,41387
376,601899
377,62798
378,905747
379,396586
38,1147820
380,298929
381,321447
382,146021
383,154230
384,566971
385,324091
386,300797
387,531199
388,1187388
389,141454
39,71934
390,128671
391,217136
392,751200
393,389050
394,395177
395,573150
396,35047
397,90280
398,200968
399,346118
4,2059
400,87745
401,315723
402,374490
403,454069
404,745284
405,692453
406,99417
407,116221
408,428729
409,111118
41,70029
410,86104
411,184861
412,57306
413,113725
414,59737
415,1296872
416,399639
417,170107
418,242643
419,238521
42,163731
420,230567
421,440231
422,923490
423,394823
424,95369
425,577189
426,310238
427,228034
428,194580
429,449104
43,141171
430,583789
431,194573
432,971687
433,565173
434,399401
435,232550
436,222049
437,317681
438,108388
439,189491
44,882815
440,334537
441,153933
442,58325
443,237628
444,884905
445,339247
446,561216
447,133081
448,511478
449,543077
45,576217
450,1755419
451,243201
452,1290291
453,265978
454,317676
455,230312
456,264997
457,581940
458,131156
459,134775
46,181890
460,122689
461,311664
462,313450
463,286212
464,608691
465,326099
466,523942
467,356701
468,370195
469,338359
47,512367
470,370603
471,772003
472,416311
473,307019
474,336365
475,744408
476,871450
477,501979
478,463727
479,326109
48,2397504
480,612008
481,315540
482,773808
483,494477
484,281915
485,219658
486,215310
487,71067
488,432020
489,296006
49,83796
490,31122
491,397387
492,144682
493,173236
494,79373
495,89051
496,276164
497,631032
498,419413
499,265217
5,28007
50,1434052
500,245741
501,153620
502,616428
503,741490
504,147330
505,2010295
506,1245601
507,1228071
508,517410
509,231543
51,449135
510,230661
511,241568
512,947019
513,451255
514,1071220
515,346988
516,199348
517,298326
518,231906
519,41080
52,1175941
520,168520
521,634234
522,188639
523,432347
524,593527
525,92957
526,234096
527,317883
528,273231
529,278557
53,446158
530,327914
531,514811
532,354226
533,161724
534,229834
535,213086
536,381441
537,440358
538,421750
539,218950
54,269453
540,676895
541,578578
542,540368
543,997934
544,460951
545,294895
546,525999
547,715399
548,91086
549,237491
55,217558
550,402656
551,205994
552,231942
553,224438
554,148190
555,309552
556,444831
557,342691
558,242102
559,558920
56,49804
560,692105
561,530509
562,287392
563,151590
564,565218
565,618004
566,870863
567,592964
568,590985
569,596505
57,48838
570,392238
571,2993393
572,164734
573,571330
574,61254
575,324252
576,19801
577,554780
578,285270
579,346426
58,113257
580,1798790
581,195493
582,156419
583,1373927
584,165427
585,154865
586,371623
587,427184
588,299829
589,568131
59,150125
590,391605
591,67195
592,121758
593,519390
594,231941
595,73341
596,89617
597,715146
598,1748642
599,1746170
6,6745
60,525989
600,242839
601,813097
602,486766
603,765799
604,414111
605,339499
606,180925
607,182478
608,123175
609,360902
61,94137
610,514440
611,409966
612,52514
613,41309
614,370651
615,1860878
616,44145
617,232547
618,236885
619,426950
62,380177
620,402972
621,1172848
622,683223
623,252079
